id,search,start_date,end_date
walmart,#walmart #stock,01/01/2017,02/03/2017
walmart,#walmart dividend,01/01/2017,02/03/2017
walmart,#walmart bullish,01/01/2017,02/03/2017
walmart,#walmart bearish,01/01/2017,02/03/2017
